,Rating,Title,Pro,Con,Job Title,Status,Region,Date
0,5,good,all good staff no problem,all good evry thing is fine,Operation Engineer,Former Employee,,"Sep 10, 2022"
1,5,GOOD COMPANY,Its a good working environment,work pressure is more here,Industrial Engineer,Former Employee,,"Apr 11, 2022"
2,4,Great boss and colleagues,"great working culture and colleagues are nice. helpful and friendly, willing to guide and teach.",nothing bad about the workplace or culture. so far so good.,Anonymous Employee,Former Employee,,"Jul 27, 2021"
3,5,Great Management,"Support, Good leader, great place to grow together with the company","none, you just need to stretch yourself to your max",Finance Executive,Former Employee,,"Apr 21, 2020"
4,5,Nice company to work,Everything is managed and wee organized,Frequent relocation at the plants located in india,Lead,Current Employee,"New York, NY","Apr 30, 2020"
5,5,good,"good environment, good training, bonus","somewhat bored, tired, and strictly",,Former Employee,,"Feb 6, 2015"
6,4,Quite a good choice,People are nice and friendly,Working environment is not so professional,Anonymous Employee,Current Employee,Ho Chi Minh City,"Mar 23, 2023"
7,4,Focused business,business is very focused in renewables,private sectors may have impression it is goverment linked,Manager,Current Employee,Singapore,"Mar 22, 2023"
8,4,Not bad,"Gotta move around, not desk-bound",Messy system and manual work,Senior Engineer,Current Employee,"Toa Payoh New Town, ","Mar 23, 2023"
9,4,How does it feel to work at Sembcorp,1. Mutual respect 2. Low power distance 3. Informally formal culture 4. Stability 5. Strong Governance,1. Long working hours 2. Slow growth,"AVP, HR",Current Employee,,"Mar 16, 2023"
10,,,,,,,,
11,4,How does it feel to work at Sembcorp,1. Mutual respect 2. Low power distance 3. Informally formal culture 4. Stability 5. Strong Governance,1. Long working hours 2. Slow growth,"AVP, HR",Current Employee,,"Mar 16, 2023"
12,3,Decent company,"Nice colleague, great working location.",Can't think of any at this moment.,,Former Employee,Singapore,"Mar 8, 2023"
13,3,Flexible working arrangements could improve,"nice and understanding bosses, people strive for excellence","no flexible working arrangements, work from office 5 days a week",Analyst,Current Employee,Singapore,"Feb 21, 2023"
14,4,Okay salary but poor worklife balance.,Salary is decent. Bonus and benefits is good.,No career prospect (role dependent) and no clear direction or guidance. Poor work life balance.,Assistant Manager,Current Employee,Singapore,"Feb 11, 2023"
15,4,Sembcorp Executive,"Great compensation packages, good salary",Lack of internal and external equity,Senior Executive,Current Employee,Singapore,"Feb 20, 2023"
16,5,Good,Good forward looking company. Culture is formed by individual teams / departments,"Depending on the teams u are in, some can get political and thats where working culture turns bad. Peoeple dont leave company, people leave boss",Manager,Current Employee,Singapore,"Jan 29, 2023"
17,5,Looking for Data analysis job & Remote (work form home) Opportunity,job satisfaction & gives opportunity to explorer your career & skills,Only one issue Sembcorp not have Remote (Work From Home) Policy.,Sr. Mechanical Engineer,Current Employee,Nellore,"Jan 27, 2023"
18,4,a,work life balance for fan,long hours and gremlin and ask,Software Engineer,Current Employee,"Sembawang Estate, ","Feb 7, 2023"
19,2,Less than 3 month,Provide transport to work. Honestly can’t think of anything,- Have to wakeup early to work. Depends on your location. If you live at central then you have to wait in line from 5am. - Not much guidance - Salary very little,Document Controller,Former Employee,Singapore,"Jan 17, 2023"
20,4,Great bonus,Great work environment and opportunity to shine,No canteen. Little maintenance management system,Maintenance Lead,Former Employee,"Changi Village, ","Feb 2, 2023"
21,3,Good place to learn,Most team mates are nice to work with,Management is lacking leadership skills,Project Engineer,Current Employee,Singapore,"Jan 31, 2023"
22,3,Forward thinking company on the up,interesting time to work for this company as they are going through a lot of positive change.,sometimes the culture is held back by employees that have been there too long,Anonymous Employee,Current Employee,"Teesside County Borough, England","Jan 15, 2023"
23,5,Strong alignment with Sustainability,Clear mandate Friendly environment Prime location Lots of learning opportunities,"More work for those that can handle it Brand image can be improved (e.g. Vs marine, waste, JI etc)",Manager,Current Employee,Singapore,"Jan 13, 2023"
24,4,Great company culture,People and management is really friendly,Lack of communication between departments,IT Technician I,Current Employee,"Middlesbrough, England","Dec 30, 2022"
25,4,great place to learn,Nice people. Several avenues to gain knowledge and experience.,Renumeration package is average at best.,Engineer,Former Employee,,"Jan 17, 2023"
26,4,Transformation in progress,"Stable, reasonable benefit, flexible in working from home during Covid",Lengthy decision making process that reduces market competitiveness,Vice President,Former Employee,Singapore,"Jan 10, 2023"
27,3,"Routine and manageable, but boring work","Good starting salary for fresh grads, bonuses. Employee welfare, good leave policy, family days etc.",Only a specific niche type of projects available; limited opportunities to get exposure Workflow is disorganised and haphazard despite large company size Work is significantly constrained due to lack of softwares other than Revit and Autocad,Architectural Assistant,Former Employee,,"Nov 12, 2022"
28,4,Good place to work,Benefits are good Salary pay on time,High pressure Slow career growth,Manager,Current Employee,"Gurgaon, Haryana","Dec 16, 2022"
29,5,If you have your people surrounded in your location it is very good company,timely salaries training time to time facilities good,only few employees in work location but having too much of competition that too unhealthy,Executive,Current Employee,,"Nov 18, 2022"
30,5,True MNC,high-level management: Good Safety standards are good,Mid-level management: could do better Company tries to take care of your work-life balance.,Software Engineer,Current Employee,,"Dec 7, 2022"
31,3,"Routine and manageable, but boring work","Good starting salary for fresh grads, bonuses. Employee welfare, good leave policy, family days etc.",Only a specific niche type of projects available; limited opportunities to get exposure Workflow is disorganised and haphazard despite large company size Work is significantly constrained due to lack of softwares other than Revit and Autocad,Architectural Assistant,Former Employee,,"Nov 12, 2022"
32,4,Good company and culture,Great leadership and management direction,Nothing to mention about now.,Data Analyst,Former Employee,,"Nov 11, 2022"
33,5,Great position in the renewable industry,"Vibrant and open environment, where everyone supports one another. Bosses are approachable and helpful!","Standardization of processes is still maturing , but these are opportunities for contribution!",Anonymous Employee,Current Employee,,"Oct 10, 2022"
34,4,Good company,Freedom to pursue interests within the role. Nice colleagues. Supportive management. Progression supported.,Need to be self motivated to progress,Anonymous Employee,Current Employee,,"Oct 26, 2022"
35,4,Slow n steady,"Well established
Focused on its sectors
Emphasise training
Professional colleagues
Forgiving","Hr practise antiquated
Very slow to change
Extremely silolised. No lateral transfer was possible.
Agree to disagree culture",Assistant Vice President,Former Employee,Ho Chi Minh City,"Sep 12, 2022"
36,4,Good Company to work,5 days a week working culture. Good HSE policies and practices,Promotions and increment is less,Assistant Manager,Current Employee,,"Oct 11, 2022"
37,5,Traditional industry striving to be an MNC,"Adapting to changes, and opportunities arises from all the changes (strategy, manpower and reorganise)",Top heavy and very little opportunities for middle management positions. It’s either the senior management or working level.,Assistant Vice President,Current Employee,,"Sep 17, 2022"
38,4,Good company,"Visionary, strong execution, supportive bosses","High. Turnover, changing culture, uncorporative",Anonymous Employee,Former Employee,,"Oct 5, 2022"
39,3,Goal driven & result oriented organization,Strong leadership team driven to achieve success for the Organization,Challenging environment to achieve success,General Director,Current Employee,,"Nov 10, 2022"
40,4,Chill but maybe cos it was during covid,"was not really overloaded with work, and not micro managed",at times felt like i wasn't doing anything,Data Science Intern,Former Employee,,"Sep 5, 2022"
41,3,Great co,They give Flexible working hours,Managers have No clear deliverables,SVP-Service Delivery Executive,Former Employee,Singapore,"Oct 9, 2022"
